Domain,Model,Gradient Weighting,First Half,Last Half,Overall
Medical,Gemma,Enabled,44.44,82.22,63.33
Medical,Gemma,Disabled,49.44,18.5,33.16
Math,Gemma,Enabled,62.22,88.89,75.56
Math,Gemma,Disabled,32.22,21.0,26.32
Finance,Gemma,Enabled,44.44,95.56,70.0
Finance,Gemma,Disabled,40.0,14.0,26.32
Coding,Gemma,Enabled,68.89,97.78,83.33
Coding,Gemma,Disabled,37.78,19.0,27.89
Mean,Gemma,Enabled,55.0,91.11,73.06
Mean,Gemma,Disabled,39.86,18.12,28.42
Medical,SmolLM,Enabled,70.0,58.75,64.38
Medical,SmolLM,Disabled,37.19,33.24,35.15
Math,SmolLM,Enabled,61.25,57.5,59.38
Math,SmolLM,Disabled,56.56,23.24,39.39
Finance,SmolLM,Enabled,65.0,60.0,62.5
Finance,SmolLM,Disabled,49.69,34.12,41.67
Coding,SmolLM,Enabled,67.5,60.0,63.75
Coding,SmolLM,Disabled,45.31,32.35,38.64
Mean,SmolLM,Enabled,65.94,59.06,62.5
Mean,SmolLM,Disabled,47.19,30.74,38.71
Medical,Llama,Enabled,67.5,72.5,70.0
Medical,Llama,Disabled,18.12,27.22,22.94
Math,Llama,Enabled,92.5,65.0,78.75
Math,Llama,Disabled,80.0,15.56,45.88
Finance,Llama,Enabled,32.5,100.0,66.25
Finance,Llama,Disabled,35.62,26.67,30.88
Coding,Llama,Enabled,62.5,77.5,70.0
Coding,Llama,Disabled,15.62,35.0,25.88
Mean,Llama,Enabled,63.75,78.75,71.25
Mean,Llama,Disabled,37.34,26.11,31.4
Medical,Qwen,Enabled,70.0,55.0,62.5
Medical,Qwen,Disabled,41.67,47.31,44.6
Math,Qwen,Enabled,55.0,56.67,55.83
Math,Qwen,Disabled,77.92,36.15,56.2
Finance,Qwen,Enabled,38.33,71.67,55.0
Finance,Qwen,Disabled,34.58,28.85,31.6
Coding,Qwen,Enabled,71.67,50.0,60.83
Coding,Qwen,Disabled,37.92,51.15,44.8
Mean,Qwen,Enabled,58.75,58.33,58.54
Mean,Qwen,Disabled,48.02,40.87,44.3
