Model-Dataset,Accuracy,Configuration
"Gemma
Medical",63.333333333333336,ProToken Gradients Enabled
"Gemma
Medical",33.1578947368421,ProToken Gradients Disabled
"Gemma
Math",75.55555555555556,ProToken Gradients Enabled
"Gemma
Math",26.31578947368421,ProToken Gradients Disabled
"Gemma
Finance",70.0,ProToken Gradients Enabled
"Gemma
Finance",26.31578947368421,ProToken Gradients Disabled
"Gemma
Coding",83.33333333333333,ProToken Gradients Enabled
"Gemma
Coding",27.894736842105264,ProToken Gradients Disabled
"SmolLM
Medical",64.375,ProToken Gradients Enabled
"SmolLM
Medical",35.15151515151515,ProToken Gradients Disabled
"SmolLM
Math",59.375,ProToken Gradients Enabled
"SmolLM
Math",39.39393939393939,ProToken Gradients Disabled
"SmolLM
Finance",62.5,ProToken Gradients Enabled
"SmolLM
Finance",41.666666666666664,ProToken Gradients Disabled
"SmolLM
Coding",63.75,ProToken Gradients Enabled
"SmolLM
Coding",38.63636363636363,ProToken Gradients Disabled
"Llama
Medical",70.0,ProToken Gradients Enabled
"Llama
Medical",22.941176470588236,ProToken Gradients Disabled
"Llama
Math",78.75,ProToken Gradients Enabled
"Llama
Math",45.88235294117647,ProToken Gradients Disabled
"Llama
Finance",66.25,ProToken Gradients Enabled
"Llama
Finance",30.88235294117647,ProToken Gradients Disabled
"Llama
Coding",70.0,ProToken Gradients Enabled
"Llama
Coding",25.88235294117647,ProToken Gradients Disabled
"Qwen
Medical",62.5,ProToken Gradients Enabled
"Qwen
Medical",44.6,ProToken Gradients Disabled
"Qwen
Math",55.833333333333336,ProToken Gradients Enabled
"Qwen
Math",56.2,ProToken Gradients Disabled
"Qwen
Finance",55.0,ProToken Gradients Enabled
"Qwen
Finance",31.6,ProToken Gradients Disabled
"Qwen
Coding",60.833333333333336,ProToken Gradients Enabled
"Qwen
Coding",44.8,ProToken Gradients Disabled
